id,tier,domain,topic,npc_stance,target_stance,weakness_hint
T101,1,家庭,年轻人就该早点结婚生孩子，拖到30岁还不结婚就是自私,支持,反对,EVIDENCE;LOGIC
T102,1,消费,现在的年轻人太爱乱花钱，存不下钱就是不懂事,支持,反对,EVIDENCE;UTILITY
T103,1,养生,吃保健品比去医院强，西药都是骗钱的,支持,反对,EVIDENCE;AUTHORITY
T104,1,家庭,子女就应该听父母的，父母都是为了孩子好,支持,反对,LOGIC;IDENTITY
T105,1,消费,网上买东西都是假货，还是实体店靠谱,支持,反对,EVIDENCE;LOGIC
T106,1,养生,坐月子不能洗头不能吹风，老祖宗的规矩不能破,支持,反对,EVIDENCE;AUTHORITY
T107,1,家庭,生了孩子就该爷爷奶奶带，送托儿所就是图省事,支持,反对,EVIDENCE;UTILITY
T108,1,消费,年轻人就该多存钱，超前消费花呗信用卡都是毒药,支持,反对,EVIDENCE;LOGIC
T109,1,养生,中医偏方都是宝贝，西医只会开一堆检查费钱,支持,反对,EVIDENCE;AUTHORITY
T110,1,家庭,女人到了年纪就该相夫教子，事业是男人的事,支持,反对,LOGIC;IDENTITY
T201,2,职场,年轻人就该拼命加班，996是福报,支持,反对,EVIDENCE;UTILITY
T202,2,理财,买房一定要趁早，租房就是给房东打工,支持,反对,EVIDENCE;LOGIC
T203,2,职场,稳定工作最重要，辞职创业都是不务正业,支持,反对,EVIDENCE;UTILITY
T204,2,理财,年轻人就该把钱全存银行，买基金股票都是赌博,支持,反对,EVIDENCE;LOGIC
T205,2,职场,学历最重要，没学历的人能力再强也没用,支持,反对,EVIDENCE;IDENTITY
T206,2,消费,该花的钱不能省，名牌才有面子,支持,反对,IDENTITY;UTILITY
T207,2,职场,年轻就该多跳槽涨工资，忠诚是傻子才干的事,支持,反对,EVIDENCE;UTILITY
T208,2,理财,钱生钱才是硬道理，上班永远发不了财,支持,反对,LOGIC;EVIDENCE
T209,2,职场,加班就是能力不行，高效的人从不加班,支持,反对,LOGIC;UTILITY
T210,2,消费,没房没车就没资格结婚，这是硬条件,支持,反对,IDENTITY;EVIDENCE
T301,3,科技,AI迟早取代大部分工作，普通人学什么都没用,支持,反对,EVIDENCE;LOGIC
T302,3,网络,网红带货全是割韭菜，就该抵制,支持,反对,EVIDENCE;UTILITY
T303,3,社会,追星打榜是年轻人的自由，外人管不着,支持,反对,UTILITY;IDENTITY
T304,3,网络,网上就该全面实名制，匿名才导致网络暴力,支持,反对,LOGIC;IDENTITY
T305,3,科技,手机短视频毁了一代人，就该限制使用,支持,反对,EVIDENCE;LOGIC
T306,3,社会,躺平是这代人最清醒的选择,支持,反对,UTILITY;IDENTITY
T307,3,网络,流量就是正义，没流量再好的内容也没用,支持,反对,LOGIC;EVIDENCE
T308,3,科技,全民都应该学编程，否则就被时代淘汰,支持,反对,EVIDENCE;UTILITY
T309,3,社会,网红比科学家更值得年轻人学习,支持,反对,IDENTITY;EVIDENCE
T310,3,网络,网络让信息更自由，利大于弊,支持,反对,LOGIC;EVIDENCE
T401,4,法律,面对网络暴力，就该以暴制暴,支持,反对,LOGIC;AUTHORITY
T402,4,教育,高考是普通人唯一的公平出路,支持,反对,EVIDENCE;UTILITY
T403,4,法律,未成年人没有隐私权，家长有权查看孩子的一切,支持,反对,LOGIC;IDENTITY
T404,4,法律,死刑应该废除，任何情况都不能剥夺生命,支持,反对,LOGIC;AUTHORITY
T405,4,社会,正当防卫认定太严，被打就该还手,支持,反对,AUTHORITY;LOGIC
T406,4,教育,体罚孩子是天经地义的，不打不成器,支持,反对,LOGIC;EVIDENCE
T407,4,法律,网络诽谤就该入刑，键盘侠必须严惩,支持,反对,AUTHORITY;LOGIC
T408,4,社会,宠物伤人，主人就该连带坐牢,支持,反对,LOGIC;AUTHORITY
T409,4,教育,学区房是公平的，努力买房就是为孩子负责,支持,反对,EVIDENCE;UTILITY
T410,4,法律,酒驾就该终身禁驾，一次都不能放过,支持,反对,LOGIC;AUTHORITY
T501,5,科技,人工智能终将拥有意识，人类应该让位,支持,反对,EVIDENCE;LOGIC
T502,5,哲学,自由意志并不存在，一切早已注定,支持,反对,LOGIC;EVIDENCE
T503,5,教育,应试教育扼杀创造力，应该彻底废除,支持,反对,EVIDENCE;UTILITY
T504,5,哲学,人生本来没有意义，意义只能靠自己赋予,支持,反对,LOGIC;IDENTITY
T505,5,科技,人类应该追求永生，死亡只是一个技术问题,支持,反对,LOGIC;EVIDENCE
T506,5,教育,通识教育比专业教育更重要,支持,反对,EVIDENCE;UTILITY
T507,5,哲学,道德是相对的，没有绝对的善恶,支持,反对,LOGIC;IDENTITY
T508,5,科技,科技越发达，人类越孤独,支持,反对,EVIDENCE;EMOTION
T509,5,哲学,人应该为热爱而活，而不是为责任而活,支持,反对,IDENTITY;EMOTION
T510,5,教育,大学应该取消分数线，人人都有受教育的权利,支持,反对,UTILITY;EVIDENCE
